client_id;client_name;client_email;client_state;client_city
1;Oliveira Antunes;femininos.oliveira.antunes@icloud.com;BA;Aratu (Candeias)
2;Fernanda Azevedo Soares Nunes Vieira;nunes.fernanda.soares.azevedo.vieira@outlook.com;PE;Recife
3;Daniel Farias Ribeiro Teixeira;farias.teixeira.daniel.ribeiro@gmail.com;RS;Rio Grande
4;Thiago Moreira;thiago.moreira@gmail.com;AC;Rio Branco
5;Pedro Freitas;pedro.freitas@icloud.com;PA;Santarém Novo
6;Antônia Coelho Pinheiro Peixoto Cavalcanti;coelho.pinheiro.peixoto.antônia.cavalcanti@aol.com;TO;Fortaleza Do Tabocão
7;Bianca Barros Rocha Torres Siqueira;torres.barros.rocha.bianca.siqueira@aol.com;PB;Cabedelo
8;Luiz Alves Pimentel;pimentel.alves.luiz@outlook.com;SE;Aracaju
9;Lucas Guedes Cunha Lopes;lucas.lopes.guedes.cunha@tutanota.com;PB;João Pessoa
10;Débora Paiva;paiva.débora@gmx.com;PA;Santarém
11;Victor Torres Monteiro;torres.monteiro.victor@gmail.com;BA;Porto Seguro
12;Rafael Pereira Barros;rafael.pereira.barros@zoho.com;TO;Fortaleza Do Tabocão
13;Carlos Guimarães Martins;martins.guimarães.carlos@hotmail.com;PA;Santarém
14;Gabriela Silva Vieira Amaral;vieira.silva.amaral.gabriela@icloud.com;AM;Itacoatiara
15;Carla Lopes Alves Pacheco Rocha;lopes.alves.pacheco.rocha.carla@yahoo.com;TO;Fortaleza Do Tabocão
16;Renata Pacheco Cardoso;renata.pacheco.cardoso@zoho.com;CE;Fortaleza
17;Luís Paiva Costa Cardoso Coelho;costa.paiva.luís.coelho.cardoso@aol.com;MS;Corumbá
18;Adriana Guedes Borges Alves Rocha;rocha.adriana.guedes.borges.alves@protonmail.com;PA;Santarém
19;Renata Lima Gomes Coelho Mendonça;renata.lima.mendonça.coelho.gomes@icloud.com;AL;Maceió
20;Bruno Silva;silva.bruno@zoho.com;PA;Santarém Novo
21;Sandra Rocha Oliveira Soares Peixoto;peixoto.soares.rocha.oliveira.sandra@yahoo.com;AC;Rio Branco
22;Daniela Borges Vieira Farias Mendonça;borges.vieira.daniela.mendonça.farias@protonmail.com;SE;Aracaju
23;Bruna Mendonça Rodrigues;rodrigues.mendonça.bruna@aol.com;SP;Santos
24;Carla Peixoto Azevedo Silva Araújo;peixoto.carla.araújo.silva.azevedo@outlook.com;SC;Laguna
25;Antunes Lopes Ribeiro Amaral;femininos.antunes.amaral.lopes.ribeiro@icloud.com;ES;São Mateus
26;Luiz Borges Gomes Araújo;gomes.araújo.borges.luiz@hotmail.com;AM;Manaus
27;Flávia Nunes Martins Ribeiro Coelho;nunes.flávia.coelho.martins.ribeiro@protonmail.com;BA;Salvador
28;Bianca Rodrigues;rodrigues.bianca@icloud.com;PR;Antonina
29;Gabriela Moraes Macedo Nunes;moraes.nunes.gabriela.macedo@icloud.com;CE;Fortaleza
30;Victor Araújo Azevedo Tavares Correia;araújo.tavares.azevedo.victor.correia@gmail.com;AM;Itacoatiara
31;Jéssica Figueiredo Leite Martins;jéssica.martins.leite.figueiredo@tutanota.com;MA;São Luís
32;Daniela Teixeira Antunes Coelho Batista;antunes.coelho.batista.teixeira.daniela@hotmail.com;BA;Porto Seguro
33;Diego Costa Guedes Cunha;guedes.cunha.costa.diego@outlook.com;RS;Rio Grande
34;Victor Vieira Nunes Cunha;nunes.cunha.victor.vieira@protonmail.com;CE;Fortaleza
35;Priscila Martins;martins.priscila@tutanota.com;PB;João Pessoa
36;Francisca Ribeiro Pinheiro;ribeiro.francisca.pinheiro@aol.com;PA;Belém
37;Jéssica Pimentel Borges Nunes Teixeira;nunes.borges.teixeira.pimentel.jéssica@yahoo.com;MA;Itaqui (São Luís)
38;Mateus Antunes;mateus.antunes@gmail.com;TO;Fortaleza Do Tabocão
39;Renata Oliveira Siqueira;oliveira.renata.siqueira@aol.com;PE;Suape (Ipojuca)
40;Lucas Pacheco;pacheco.lucas@aol.com;MS;Corumbá
41;Pedro Ribeiro Costa Santos Correia;costa.correia.ribeiro.santos.pedro@yahoo.com;BA;Aratu (Candeias)
42;Márcia Figueiredo;márcia.figueiredo@protonmail.com;PA;Vila Do Conde (Barcarena)
43;Jéssica Farias Cunha;farias.jéssica.cunha@outlook.com;MA;Itaqui (São Luís)
44;Rafael Paiva Vieira;rafael.vieira.paiva@icloud.com;PR;Paranaguá
45;Amanda Santos Figueiredo Rodrigues Siqueira;figueiredo.siqueira.rodrigues.amanda.santos@tutanota.com;PA;Santarém
46;Ana Silva Costa Farias Coelho;costa.farias.coelho.ana.silva@hotmail.com;AP;Macapá
47;Gabriela Barros Lacerda;lacerda.gabriela.barros@tutanota.com;RJ;Niterói
48;Letícia Torres Peixoto Oliveira;torres.oliveira.peixoto.letícia@yahoo.com;PE;Suape (Ipojuca)
49;Diego Costa Tavares Antunes;costa.tavares.antunes.diego@icloud.com;SE;Aracaju
